id,created_by_id,sales_owner_id,company_id,company_raw_id,status,note,created_at,updated_at
1,6,,,8,ongoing,,2026-06-12 09:43,
2,5,,,9,open,台灣,2026-01-29 11:10,
3,5,,,10,ongoing,醫美 Aesthetic,2026-06-03 10:28,
4,6,,,11,ongoing,,2026-06-01 17:48,
5,6,,,12,ongoing,,2026-05-31 16:23,
6,6,,,13,ongoing,,2026-05-27 18:48,
7,6,,,14,ongoing,,2026-05-20 18:05,
8,5,,,15,ongoing,,2025-11-26 15:18,
9,4,,,16,ongoing,,2026-05-15 17:34,
10,6,,,17,ongoing,,2026-05-06 16:31,
11,4,,,18,ongoing,,2026-05-07 21:37,
12,1,,,19,ongoing,零售/批發 Retail & Wholesale,2026-05-07 18:03,
13,1,,,20,ongoing,消費品 Consumer Goods,2026-05-07 17:56,
