id,name,status,created_by_id,created_at,updated_at
1,北投麗禧溫泉酒店股份有限公司,'pending',7,,
2,承億酒店股份有限公司,'pending',7,,
3,漢來國際飯店股份有限公司南投分公司,'pending',7,,
4,長榮桂冠股份有限公司,'pending',7,,
5,鹿港永樂酒店_永樂旅館管理顧問有限公司,'pending',7,,
6,河堤時尚旅店有限公司,'pending',7,,
7,有巢氏房屋,'pending',5,,
8,寶貝可愛嬰童用品,'pending',6,2026-06-12 09:43,2026-06-12 09:43
9,悅緹妍美學診所,'pending',5,2026-01-29 11:10,2026-01-29 11:10
10,悅媞研美學診所,'pending',5,2026-06-03 10:28,2026-06-03 10:28
11,KlassiC.,'pending',6,2026-06-01 17:48,2026-06-01 17:48
12,悅暉行銷顧問有限公司,'pending',6,2026-05-31 16:23,2026-05-31 16:23
13,新美齊股份有限公司,'pending',6,2026-05-27 18:48,2026-05-27 18:48
14,恆碩顧問有限公司,'pending',6,2026-05-20 18:05,2026-05-20 18:05
15,愛茉莉太平洋股份有限公司,'pending',5,2025-11-26 15:18,2025-11-26 15:18
16,瑪旺生技/擎日生物科技/麥茵茲美形診所,'pending',4,2026-05-15 17:34,2026-05-15 17:34
17,Nordberg Medical,'pending',6,2026-05-06 16:31,2026-05-06 16:31
18,Signify 昕諾菲,'pending',4,2026-05-07 21:37,2026-05-07 21:37
19,EssilorLuxoticca,'pending',1,2026-05-07 18:03,2026-05-07 18:03
20,卫龙食品,'pending',1,2026-05-07 17:56,2026-05-07 17:56
