source table,,target table,target field,desc
candidate(dup_entity),,,,
email,匯入,talent_note(2),content,舊系統有兩個帳號(無法確認何者正確)，email 不同則擇一保留至個別備註
phone,匯入,talent_note(2),content,舊系統有兩個帳號(無法確認何者正確)，phone 不同則擇一保留至個別備註
生日,匯入,talent_note(2),content,舊系統有兩個帳號(無法確認何者正確)，生日 不同則保留至個別備註，不轉至 talent.brith_date
備註,匯入,talent_note(2),content,根據對應row照著匯入 備註資訊
類型,匯入,, ,Cold Call 直接視作一般 talent
,,,,
candidate(entity),,,,
EID,匯入,talent,id,
備註,不匯入,,,
姓名,不匯入,,,
公司,匯入,company_raw,name,需根據擁有者設定 created_by_id
職位,匯入,talent,current_title,
地區,匯入,talent_note(1),content,
狀態,匯入,talent,status,
擁有者,匯入,talent,created_by_id,
最近聯繫,不匯入,,,
最近備註者,匯入,talent_note(0),created_by_id,
類型,不匯入,,,
最近操作,匯入,talent,updated_at,
附件,不匯入,,,
備註內容,匯入,talent_note(0),content,
年薪,匯入,talent,current_salary,
工作年限,匯入,talent_note(1),content,
國碼,匯入,talent,phone_country_code,
號碼,匯入,talent,phone_number,
分機,匯入,talent,phone_extension,
郵箱,匯入,talent,email,
行業,匯入,talent_industry,industry_id,
職能,匯入,talent_function,function_id,
意圖地區,匯入,talent_note(1),content,
學校,匯入,talent_note(1),content,
學歷,匯入,talent_note(1),content,
專業,匯入,talent_note(1),content,
添加人,不匯入,,,
添加日期,匯入,talent,created_at,
簡歷,,,,
中文名,匯入,talent,chinese_name,
英文名,匯入,talent,english_name,
生日,匯入,talent,birth_date,考慮 出生年 拆成一欄
薪資結構,匯入,talent_note(1),content,
期望薪資,匯入,talent_note(1),content,
地址,匯入,talent_note(1),content,
,,,,
client,,,,
Client_id,匯入,candidate,id,
公司名稱,匯入,company_raw,name,
城市,不匯入,,,原始匯入 因決策進入 raw 卻又無地方存放
行業,匯入,client_industry,industry_id,
在職,不匯入,,,
離職,不匯入,,,
所有職缺,不匯入,,,
類型,匯入,client,status,
BD,匯入,client,sales_owner_id,
簡稱,不匯入,,,原始匯入 因決策進入 raw 卻又無地方存放
性質,匯入,note,content,
規模,匯入,note,content,
融資階段,匯入,note,content,
最近編輯,匯入,client,updated_at,
添加人,不匯入,,,
添加日期,匯入,client,created_at,
法定名稱,不匯入,,,
地區,不匯入,,,
統編,不匯入,,,
,,,,
joborder,,,,
ID,匯入,opportunity,id,
職缺名稱,匯入,opportunity,title,
客戶,匯入,opportunity,client_id,
添加者,不匯入,,,
最新進展,不匯入,,,
加入職缺,不匯入,,,
簡歷推薦,不匯入,,,
客戶面試,不匯入,,,
最近操作,匯入,opportunity,created_at,
備註,不匯入,,,
工作地點,匯入,opportunity,location,
Offer,不匯入,,,
優先級,匯入,opportunity,is_priority,
狀態,匯入,opportunity,status,
職缺參與者,不匯入,,,
聯繫人,不匯入,,,
招聘數量,匯入,opportunity,headcount,
簡歷總數,不匯入,,,
入職,不匯入,,,
淘汰,不匯入,,,
年薪,匯入,note,content,
行業,匯入,opportunity_industry,industry_id,
職能,匯入,opportunity_function,function_id,
首次開啟日期,匯入,opportunity,opened_at,
添加時間,匯入,opportunity,created_at,
招聘週期,,,,
client_rid,匯入,opportunity,client_id,
candidate_id,匯入,opportunity,client_contact_id,
,,,,
jobsubmission,,,,
附件,不匯入,,,
備註,不匯入,,,
職缺,不匯入,,,
姓名,不匯入,,,
職缺流程,匯入,pipeline_stage_history,to_stage,
用戶,匯入,pipeline_stage_history,changed_by_id,
最近更新,匯入,pipeline,stage_entered_at,
候選人公司,不匯入,,,
職位,不匯入,,,
添加時間,匯入,pipeline_stage_history,created_at,"修改 added  的添加時間就好，其他依照""最近更新"""
電話,不匯入,,,
郵箱,不匯入,,,
性別,匯入,talent,sex,
年齡,不匯入,,,
所在城市,不匯入,,,
意向城市,不匯入,,,
工作經驗,不匯入,,,
行業,不匯入,,,
職能,不匯入,,,
年薪,不匯入,,,
學校,不匯入,,,
人才學歷,不匯入,,,
人才專業,不匯入,,,
狀態,不匯入,,,
擁有者,不匯入,,,
招募網站,匯入,talent,source_id,
人才智慧行業,匯入,note,content,
人才智慧職能,匯入,note,content,
客戶,不匯入,,,
candidate_id,匯入,pipeline,candidate_id,
order_id,匯入,pipeline,opportunity_id,
