檔名,欄位名稱,類型,定義,空值率,唯一,PII,非空列數,總筆數,更新日期,備註(資料狀況),正常值,異常值(、分隔) 不計入空白值,,符號意義,第 1 欄,,,,,,,,,,,,,,檔案,負責人,狀態
candidate,備註,TEXT,顧問記錄備註的次數,0.00%,FALSE,~,4388,4388,2026/7/9,該用戶聯繫並紀錄備註的次數,2,N,,N,沒問題,,,,,,,,,,,,,,,,進行中
candidate,姓名,TEXT,衍伸欄位；由中英文名組合,0.00%,FALSE,Direct,4388,4388,2026/7/9,"f""{中文名} {英文名}""；當中英都 null，系統自動填入 Noname",蔣萬安 WangAn Chang,- Hsuanwen CHEN、＊小姐,,~,不確定,,,,,,,,,,,,,,,,進行中
candidate,公司,TEXT,候選人當前公司,3.87%,FALSE,Linkable,4218,4388,2026/7/9,英、中、別名、地區,樂崎餐飲有限公司,公司名暫不公開、© 2026 Softlogic Ink、Ｒａｋｕｔｅｎ　Ｇｒｏｕｐ，　Ｉｎｃ．、1) CMI (Thailand) Co.Ltd,,,,,,,,,,,,,,,,,,,進行中
candidate,職位,TEXT,候選人當前職位,3.49%,FALSE,Linkable,4235,4388,2026/7/9,英、中、簡稱、地區,財務經理,人資經理(HRBP、【管理部兼任資材部】經理、商业化负责人（汽水音乐）,,其他紀錄,,,,,,,,,,,,,,,,,進行中
candidate,地區,TEXT,,31.97%,FALSE,Linkable,2985,4388,2026/7/9,"中；多地區以 ',' 分隔","台北市,台灣",N,,3417列有錯位，不計入異常值，但仍有被記錄至空值率那些的,,,,,,,,,,,,,,,,,進行中
candidate,狀態,ENUM,候選人當前求職狀態,86.85%,FALSE,N,577,4388,2026/7/9,成功Offer、考慮機會、現狀穩定、積極求職,積極求職,N,,"3416, 3417 是同一實體需處理",,,,,,,,,,,,,,,,,進行中
candidate,擁有者,TEXT,,0.05%,FALSE,N,4386,4388,2026/7/9,共8名，含 intern,intern,N,,職位、行業、職能定義上有點重複的感覺,,,,,,,,,,,,,,,,,
candidate,最近聯繫,TIME,yyyy-mm-dd hh:mm,0.02%,FALSE,N,4387,4388,2026/7/9,yyyy-mm-dd hh:mm,2925-10-21 14:44,N,,行業似乎是來自某個行業的 table 去定義，算Enum，但在某些欄位變成多值ENum,,,,,,,,,,,,,,,,,
candidate,最近備註者,User,最後一次備註的顧問,50.46%,FALSE,N,2174,4388,2026/7/9,共8名，含 intern,Ryan,N,,yyyy-mm-dd hh:mm,,,,,,,,,,,,,,,,,
candidate,類型,ENUM,候選人/聯繫人/Cold Call,0.02%,FALSE,N,4387,4388,2026/7/9,候選人(人才)、聯繫人(客戶)、Cold Call,候選人,Cold Call,,專業是類似當事人學系等,,,,,,,,,,,,,,,,,
