Level 1,Level 2,Level 3,Level 4
醫美 Aesthetic,,,
醫藥/大健康 Healthcare,,,
,新藥& 生物科技 Biotech,,
,製藥,,
,,西藥,
,,中成藥,
,,原料藥,
,疫苗,,
,動物保健 & 寵物,,
,醫藥服務外包,,
,,CRO,
,,CDMO,
,醫藥零售,,
,醫療機構,,
,美容/保健,,
,養老服務,,
,健康服務,,
醫療器械 Medical Device,,,
,生命科學 Life Sciences ,,
,體外診斷 IVD,,
消費品 Consumer Goods,,,
,服飾/鞋 Clothes & Shoes,,
,快速消費品 Fast Moving Consumer Goods,,
,,食品,
,,非食品,
,,香水化妝品,
,,煙酒,
,奢侈品 Luxury Goods,,
,,腕錶珠寶,
,,高級時裝,
,,私人飛機/游艇,
,,豪宅,
,耐用消費品 Consumer Durable,,
,,家電,
,,厨具,
,,家具,
,消費性電子 Consumer Electronic,,
,,手機與週邊,
,,電腦與週邊,
,,穿戴式裝置,
,,無人機,
,,機器人,
零售/批發 Retail & Wholesale,,,
,購物中心 Shopping Mall,,
,百貨/專賣店 Department Stores,,
,超市/便利店 Supermarkets / Convenient Stores,,
,餐飲與休閒 Restaurant & Leisure,,
資訊科技 Information Technology,,,
,軟體系統整合 SI,,
,人工智慧 Artificial intelligence,,
,雲端運算 Cloud Computing,,
,大數據 Big Data,,
,基礎建設服務 Infrastructure as a Service,,
,物聯網 IOT,,
,區塊鏈 Blockchain,,
,資訊安全 Information Security,,
,電子商務 e-commerce,,
,娛樂/遊戲 Gaming,,
,社群/新媒體 Social Media,,
,搜尋引擎 Search Engine,,
,金融科技 Fintech,,
,其他軟體服務 SAAS ,,
晶片/半導體 Semiconductor,,,
,半導體設備,,
,半導體材料,,
,晶片設計,,
,晶圓製造,,
,封裝測試,,
,EDA工具,,
,IP授權,,
電子/通訊,,,
,電子設備,,
,通訊設備,,
,電子元件,,
,安防,,
,營運商/增值服務,,
金融 Financial Service,,,
,銀行,,
,,公股銀行,
,,私人銀行,
,消費金融,,
,保險,,
,私募/投資,,
,,PE/VC,
,,FA,
,,企業戰投,
,資管,,
,,公募基金,
,,信託,
,,券商資管,
,,保險資管,
,證券,,
,期貨,,
,租賃,,
工業/製造 Industrial Manufacturing,,,
,智慧製造,,
,,CNC工具機,
,,3D列印裝備,
,,工業機器人,
,工業互聯網,,
,機械設備,,
,儀器儀表,,
,特種設備,,
,零件,,
,軌道運輸/船舶,,
,航空/航太設備,,
,非機動車,,
,造紙/包裝/印刷,,
,汽車 Automotive,,
,,智慧電動汽車,
,,,三電
,,,智慧座艙
,,,自動駕駛
,,,車聯網
,,,充電/換電
,,汽車整車,
,,汽車零件,
,,,底盤
,,,引擎
,,,車身
,,,控制系統
,,,空調
,,,座椅
,,,車燈
,,汽車工程設計,
,,汽車零售,
,,汽車後市場,
,化工 Chemical Engineering,,
新能源/環保 Energy,,,
,新能源,,
,,太陽能/光電,
,,風能,
,,生質能,
,,氫能,
,,水能,
,,核能,
,不可再生能源,,
,,石油/天然氣,
,,煤炭,
,儲能,,
,電氣/電力,,
,環保,,
原料,,,
,新材料,,
,,金屬新材料,
,,非金屬新材料,
,,化工新材料,
,,複合新材料,
,,前沿新材料,
,礦產開採,,
,金屬材料,,
,,鋼鐵,
,,貴金屬,
,,有色金屬,
,,能源金屬,
,非金屬材料,,
,,稀土,
,,玻璃,
,,石墨,
,,木材,
,,陶瓷,
,,鑽石,
,,液晶材料,
房地產,,,
,商業地產,,
,房地產開發,,
,建築設計,,
,建築工程,,
,物業管理,,
,房地產服務,,
,建築材料,,
運輸/貿易,,,
,快遞,,
,貿易/進出口,,
,交通/運輸,,
,物流/倉儲,,
專業服務 Professional Service,,,
,人力資源服務,,
,,獵頭,
,,RPO 外包,
,公關/行銷/廣告,,
,會計師事務所,,
,律師事務所,,
,管理諮詢,,
,市場研究,,
,信用評級,,
,專業檢測,,
文娛 Entertainment,,,
,飯店/民宿,,
,旅遊,,
,傳媒,,
,影視/娛樂,,
,出版,,
,室內娛樂,,
教育/培訓 Education,,,
,網路教育,,
,國內院校,,
,國際學校,,
,學術/科學研究,,
政府/公共事業,,,
,政府部門,,
,公共事業,,
,,電力,
,,瓦斯,
,,水務,
,,市政環衛,
,非營利組織,,
,,基金會,
